Index,Distance,nPixels,Border,Ecc
4,0.0037516304585217346,6.6763308129790865e-6,FALSE,1.6557399960841759
5,0.0024314546910536475,3.4978754764765767e-6,FALSE,1.3274491659428793
6,0.0022351735775342054,3.1123218709022453e-6,FALSE,1.2607468349998068
8,3.0368888985851666e-4,5.0162458601561194e-8,FALSE,1.4440055918966552
9,0.0019895565722824844,2.0807297850423366e-6,FALSE,1.494124484465393
10,0.003090705701827491,4.768132892274855e-6,FALSE,1.573464094298064
11,0.008082584174477431,2.3704573486244477e-5,FALSE,2.164503080412668
12,0.004847620527292471,8.547188069432828e-6,FALSE,2.1593540367346016
13,0.0039042686809875027,8.569907389247885e-6,FALSE,1.3969895150041503
14,0.005435553166771388,1.0135965850162993e-5,FALSE,2.289350239046557
15,0.00274199202268351,4.79692569362463e-6,FALSE,1.2310034332190534
16,0.002178035575039119,2.6934765887672364e-6,FALSE,1.383268904951461
17,9.059910497511181e-4,3.6665832968854144e-7,FALSE,1.7582318394093783
