Index,nPixels,maxDist,Ecc
172,1.0347412985075404e-7,4.173954270738881e-4,5.2894858917506395
107,2.569982464227967e-8,2.1837599967845588e-4,5.8294760836852255
158,1.4778805067814217e-7,6.734559059055709e-4,9.641150970776899
186,1.8332916484427072e-8,2.1050871912438242e-4,7.593788377388824
83,9.110222302077257e-9,1.2021911917421356e-4,4.983884641806017
142,1.0347412985075403e-8,1.61882513272763e-4,7.956424872678528
39,4.7238189714474665e-9,8.248968878890139e-5,4.525389417671012
22,9.953761404121448e-9,1.283632753552582e-4,5.200489533908521
151,2.2719319815056863e-8,1.8137812707083332e-4,4.549088372153528
70,2.8174206008275963e-8,2.325918623062743e-4,6.032359546413947
203,8.997750421804698e-9,1.1273563088393648e-4,4.437499623195595
249,2.193201665314895e-8,2.2609393973275336e-4,7.3223274925977435
196,2.7218195025959213e-8,2.0916873912233002e-4,5.049915463828222
150,4.38640333062979e-8,3.033183114534191e-4,6.589289206760153
68,1.9682579047697778e-8,1.7312930454616016e-4,4.784196812466769
181,7.816795678942831e-9,1.0737023669498583e-4,4.633284129395024
214,3.812796741239741e-8,2.496185523373566e-4,5.134048171353238
193,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
73,4.836290851720026e-9,8.28298538971684e-5,4.456677950441453
138,6.804548756489803e-9,1.0004997423416862e-4,4.6215164656114665
248,1.793926490347312e-8,1.6768413779525942e-4,4.924126416284918
98,5.213071650633097e-8,3.479597377763836e-4,7.296492969987955
119,1.6420894519793575e-8,1.739394601386313e-4,5.788276875449727
23,1.675831016061125e-8,1.826141081647684e-4,6.251558535499164
210,6.669582500162733e-8,3.2036009543747786e-4,4.834238273862881
24,9.846913117862517e-8,4.5218787946550595e-4,6.523604162451422
137,1.861409618510847e-8,1.8028969299094645e-4,5.485923123187052
66,1.7545613322519163e-8,1.665062115573647e-4,4.9641191609608235
237,1.1697075548346108e-8,1.3288372813400335e-4,4.742596602053821
145,2.0751061910287086e-8,1.750673795264902e-4,4.64002166993613
124,2.6093476223233624e-8,2.1591571126941095e-4,5.612888598762804
191,4.7238189714474665e-9,8.248968878890074e-5,4.52538941767094
27,1.490252413611403e-8,1.4560545810984375e-4,4.46936011472966
242,1.4733816315705194e-8,1.5459713631862232e-4,5.096094953342213
44,2.4462633959281523e-8,2.2055404829175566e-4,6.247075046793553
218,6.917020636762362e-9,1.0525435956219132e-4,5.031656526481222
198,6.15783544492259e-8,3.8428580353412725e-4,7.534084299841835
26,1.951387122728894e-8,1.876264867371098e-4,5.667541790049591
144,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
134,1.0178705164666565e-8,1.349831271091114e-4,5.623624418580628
188,3.019869985318202e-8,2.946664072649189e-4,9.032810162276768
12,1.9851286868106616e-8,1.739394601386313e-4,4.788036395556148
96,2.136965725178616e-8,2.2371854353470306e-4,7.357940688670859
222,2.99737560926369e-8,2.4334429305718707e-4,6.206561096116419
64,1.2596850590526577e-8,1.6378199975884038e-4,6.689909356081721
79,2.3506622976964776e-8,2.037207005205269e-4,5.546639661122654
50,5.438015411178215e-8,3.063621779649862e-4,5.422252470363333
247,2.0076230628651734e-8,1.7393946013863075e-4,4.734388928939243
170,2.7218195025959213e-8,2.5771039036279837e-4,7.66574571051559
133,6.011622000568264e-8,3.344447412220134e-4,5.845301953218046
29,4.0096225317167185e-8,2.6703402796797655e-4,5.58701190007272
49,7.096975645198456e-8,4.613599824603523e-4,9.42228858465715
130,1.41714569143424e-8,1.7312930454616024e-4,6.64471779509274
84,1.8332916484427072e-8,1.8807553361806443e-4,6.061539199717724
223,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
82,4.099600035934766e-8,3.456897059352416e-4,9.157591754291248
180,1.9232691526607542e-8,2.1117552066484796e-4,7.284453141218453
153,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
80,2.9073981050456433e-8,2.2371854353470306e-4,5.408157566141058
123,6.692076876217245e-9,9.863476893862826e-5,4.567189319924776
189,1.3890277213661003e-8,1.852131838804425e-4,7.7585891444930555
243,6.236565761113381e-8,3.320823370901317e-4,5.555151662479339
217,2.3337915156555938e-8,2.019184404624866e-4,5.4883245153074975
157,3.177330617699784e-8,2.3003916985643856e-4,5.232280861996503
32,1.4452636615023797e-8,1.731293045461603e-4,6.515443129818567
57,1.2709322470799136e-8,1.3581380034701794e-4,4.559479603440059
106,2.738690284636805e-8,2.1210552116581876e-4,5.160727151687556
95,5.47738056927361e-8,3.320823370901325e-4,6.325116215287079
216,4.161459570084673e-8,3.456897059352423e-4,9.021465390376145
72,5.8429141801594264e-8,4.2849777659277594e-4,9.87228105290731
109,2.193201665314895e-8,2.0591721361448918e-4,6.073745796940343
232,2.8849037289911314e-8,2.4928039202991753e-4,6.766978327907912
201,3.18857780572704e-8,2.603157848925352e-4,6.676576979851325
129,8.114846161665113e-8,4.742823637297906e-4,8.708503544254448
18,3.014246391304574e-8,2.7038254784131875e-4,7.619534421020005
93,9.278930122486095e-9,1.2091875138055555e-4,4.950388423838452
169,1.4340164734751238e-8,1.7393946013863042e-4,6.628144500514914
101,2.575606058241595e-8,2.111755206648471e-4,5.439482476630329
42,2.2550611994648026e-8,2.147404733899727e-4,6.424204428787177
194,1.4227692854478679e-8,1.5295146647447446e-4,5.165622703135803
179,3.1660834296725284e-8,2.3283351625436868e-4,5.3792101564130785
245,2.0188702508924292e-8,1.6650621155736293e-4,4.314220552144134
226,6.028492782609147e-8,3.110981404228207e-4,5.043545668682883
114,4.622594279202164e-8,3.7292288741376344e-4,9.451531182880215
37,3.627218138790019e-8,2.565074072214029e-4,5.698702953023325
