Index,nPixels,maxDist,Ecc
6,9.40264919078591e-8,4.439673075550261e-4,6.585695126095827
50,9.278930122486095e-9,1.290187516616818e-4,5.6358268209853355
44,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
48,1.3192951555971138e-7,5.907148284456836e-4,8.309284917103437
51,7.023868923021292e-8,3.4625860909231934e-4,5.362590502364644
35,1.332791781229821e-8,1.5890228796713204e-4,5.951793677054062
43,6.298425295263289e-9,9.748781402324665e-5,4.740438914791698
4,1.2169457445490854e-7,4.22217870573955e-4,4.602055781829765
32,1.1106598176915174e-7,4.6717414704679504e-4,6.173428399282026
27,1.8006748031636653e-7,5.266456652742234e-4,4.838955330263845
26,1.4396400674887517e-7,5.0750429143423e-4,5.620505606812999
17,8.902149323573024e-8,5.183040478628422e-4,9.480346245229622
21,1.7770557083064278e-8,2.1837599967845588e-4,8.430603070392875
42,7.1982003374437585e-9,9.86347689386272e-5,4.246058820867475
7,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
33,1.2579979808485694e-7,4.5897694032544044e-4,5.260798426619306
10,1.3940889559783656e-7,4.6354884021074125e-4,4.84228540918378
19,1.940139934701638e-7,6.44962982804485e-4,6.735756770609768
24,7.310672217716318e-9,1.0737023669498532e-4,4.954049953737709
34,1.1387777877596572e-7,4.245423278505636e-4,4.972249113459403
25,5.961009654445613e-9,9.030067175697292e-5,4.297461648778522
46,1.867033212524475e-7,5.893328145298388e-4,5.844119345954988
31,1.2203199009572623e-8,1.382758823740963e-4,4.922311070140672
39,4.105223629948394e-9,7.499062617172952e-5,4.3035515802601045
3,5.2861783728102605e-9,9.030067175697206e-5,4.84607377415441
5,4.105223629948394e-9,7.499062617172952e-5,4.3035515802601045
23,4.7238189714474665e-9,8.248968878890161e-5,4.525389417671036
14,4.836290851720026e-9,8.282985389716754e-5,4.4566779504413585
36,1.63252934215619e-7,5.006431715177961e-4,4.8233132817946
18,1.0499250023443358e-7,4.1026109836040243e-4,5.036307880125459
12,3.531617040558344e-8,3.601112022060133e-4,11.535848183404557
11,9.160834648199909e-8,4.055738217619784e-4,5.640981284070066
13,6.579604995944686e-9,9.77758141012775e-5,4.564707274446748
15,6.579604995944686e-9,9.777581410127663e-5,4.564707274446667
37,4.105223629948394e-9,7.499062617172952e-5,4.3035515802601045
28,8.435391020441904e-9,1.209187513805564e-4,5.4454272662223735
41,4.105223629948394e-9,7.499062617172866e-5,4.303551580260004
40,7.0294925170349206e-9,9.863476893862698e-5,4.347964232568276
47,1.27824291929763e-7,4.911170402709542e-4,5.927976634952317
30,1.6662709062379576e-7,6.137331073298872e-4,7.1017170414257205
45,4.105223629948394e-9,7.499062617172952e-5,4.3035515802601045
8,4.105223629948394e-9,7.499062617172779e-5,4.303551580259905
38,6.028492782609147e-8,3.531732085284336e-4,6.500048979162507
20,4.105223629948394e-9,7.499062617172952e-5,4.3035515802601045
22,4.7238189714474665e-9,8.248968878890248e-5,4.525389417671131
